id,order_number,serial_number,mac_address,used,test_result,timestamp,operator,created_at,updated_at,post_testing_changes
, , ,00:13:C6:13:3F:00,False,False,, ,,, 
, , ,00:13:C6:13:3F:01,False,False,, ,,, 
, , ,00:13:C6:13:3F:02,False,False,, ,,, 
, , ,00:13:C6:13:3F:03,False,False,, ,,, 
, , ,00:13:C6:13:3F:04,False,False,, ,,, 
, , ,00:13:C6:13:3F:05,False,False,, ,,, 
, , ,00:13:C6:13:3F:06,False,False,, ,,, 
, , ,00:13:C6:13:3F:07,False,False,, ,,, 
, , ,00:13:C6:13:3F:08,False,False,, ,,, 
, , ,00:13:C6:13:3F:09,False,False,, ,,, 
, , ,00:13:C6:13:3F:0A,False,False,, ,,, 
, , ,00:13:C6:13:3F:0B,False,False,, ,,, 
, , ,00:13:C6:13:3F:0C,False,False,, ,,, 
, , ,00:13:C6:13:3F:0D,False,False,, ,,, 
, , ,00:13:C6:13:3F:0E,False,False,, ,,, 
, , ,00:13:C6:13:3F:0F,False,False,, ,,, 
, , ,00:13:C6:13:3F:10,False,False,, ,,, 
, , ,00:13:C6:13:3F:11,False,False,, ,,, 
, , ,00:13:C6:13:3F:12,False,False,, ,,, 
, , ,00:13:C6:13:3F:13,False,False,, ,,, 
, , ,00:13:C6:13:3F:14,False,False,, ,,, 
, , ,00:13:C6:13:3F:15,False,False,, ,,, 
, , ,00:13:C6:13:3F:16,False,False,, ,,, 
, , ,00:13:C6:13:3F:17,False,False,, ,,, 
, , ,00:13:C6:13:3F:18,False,False,, ,,, 
, , ,00:13:C6:13:3F:19,False,False,, ,,, 
, , ,00:13:C6:13:3F:1A,False,False,, ,,, 
, , ,00:13:C6:13:3F:1B,False,False,, ,,, 
, , ,00:13:C6:13:3F:1C,False,False,, ,,, 
, , ,00:13:C6:13:3F:1D,False,False,, ,,, 
, , ,00:13:C6:13:3F:1E,False,False,, ,,, 
, , ,00:13:C6:13:3F:1F,False,False,, ,,, 
, , ,00:13:C6:13:3F:20,False,False,, ,,, 
, , ,00:13:C6:13:3F:21,False,False,, ,,, 
, , ,00:13:C6:13:3F:22,False,False,, ,,, 
, , ,00:13:C6:13:3F:23,False,False,, ,,, 
, , ,00:13:C6:13:3F:24,False,False,, ,,, 
, , ,00:13:C6:13:3F:25,False,False,, ,,, 
, , ,00:13:C6:13:3F:26,False,False,, ,,, 
, , ,00:13:C6:13:3F:27,False,False,, ,,, 
, , ,00:13:C6:13:3F:28,False,False,, ,,, 
, , ,00:13:C6:13:3F:29,False,False,, ,,, 
, , ,00:13:C6:13:3F:2A,False,False,, ,,, 
, , ,00:13:C6:13:3F:2B,False,False,, ,,, 
, , ,00:13:C6:13:3F:2C,False,False,, ,,, 
, , ,00:13:C6:13:3F:2D,False,False,, ,,, 
, , ,00:13:C6:13:3F:2E,False,False,, ,,, 
, , ,00:13:C6:13:3F:2F,False,False,, ,,, 
, , ,00:13:C6:13:3F:30,False,False,, ,,, 
, , ,00:13:C6:13:3F:31,False,False,, ,,, 
, , ,00:13:C6:13:3F:32,False,False,, ,,, 
, , ,00:13:C6:13:3F:33,False,False,, ,,, 
, , ,00:13:C6:13:3F:34,False,False,, ,,, 
, , ,00:13:C6:13:3F:35,False,False,, ,,, 
, , ,00:13:C6:13:3F:36,False,False,, ,,, 
, , ,00:13:C6:13:3F:37,False,False,, ,,, 
, , ,00:13:C6:13:3F:38,False,False,, ,,, 
, , ,00:13:C6:13:3F:39,False,False,, ,,, 
, , ,00:13:C6:13:3F:3A,False,False,, ,,, 
, , ,00:13:C6:13:3F:3B,False,False,, ,,, 
, , ,00:13:C6:13:3F:3C,False,False,, ,,, 
, , ,00:13:C6:13:3F:3D,False,False,, ,,, 
, , ,00:13:C6:13:3F:3E,False,False,, ,,, 
, , ,00:13:C6:13:3F:3F,False,False,, ,,, 
, , ,00:13:C6:13:3F:40,False,False,, ,,, 
, , ,00:13:C6:13:3F:41,False,False,, ,,, 
, , ,00:13:C6:13:3F:42,False,False,, ,,, 
, , ,00:13:C6:13:3F:43,False,False,, ,,, 
, , ,00:13:C6:13:3F:44,False,False,, ,,, 
, , ,00:13:C6:13:3F:45,False,False,, ,,, 
, , ,00:13:C6:13:3F:46,False,False,, ,,, 
, , ,00:13:C6:13:3F:47,False,False,, ,,, 
, , ,00:13:C6:13:3F:48,False,False,, ,,, 
, , ,00:13:C6:13:3F:49,False,False,, ,,, 
, , ,00:13:C6:13:3F:4A,False,False,, ,,, 
, , ,00:13:C6:13:3F:4B,False,False,, ,,, 
, , ,00:13:C6:13:3F:4C,False,False,, ,,, 
, , ,00:13:C6:13:3F:4D,False,False,, ,,, 
, , ,00:13:C6:13:3F:4E,False,False,, ,,, 
, , ,00:13:C6:13:3F:4F,False,False,, ,,, 
, , ,00:13:C6:13:3F:50,False,False,, ,,, 
, , ,00:13:C6:13:3F:51,False,False,, ,,, 
, , ,00:13:C6:13:3F:52,False,False,, ,,, 
, , ,00:13:C6:13:3F:53,False,False,, ,,, 
, , ,00:13:C6:13:3F:54,False,False,, ,,, 
, , ,00:13:C6:13:3F:55,False,False,, ,,, 
, , ,00:13:C6:13:3F:56,False,False,, ,,, 
, , ,00:13:C6:13:3F:57,False,False,, ,,, 
, , ,00:13:C6:13:3F:58,False,False,, ,,, 
, , ,00:13:C6:13:3F:59,False,False,, ,,, 
, , ,00:13:C6:13:3F:5A,False,False,, ,,, 
, , ,00:13:C6:13:3F:5B,False,False,, ,,, 
, , ,00:13:C6:13:3F:5C,False,False,, ,,, 
, , ,00:13:C6:13:3F:5D,False,False,, ,,, 
, , ,00:13:C6:13:3F:5E,False,False,, ,,, 
, , ,00:13:C6:13:3F:5F,False,False,, ,,, 
, , ,00:13:C6:13:3F:60,False,False,, ,,, 
, , ,00:13:C6:13:3F:61,False,False,, ,,, 
, , ,00:13:C6:13:3F:62,False,False,, ,,, 
, , ,00:13:C6:13:3F:63,False,False,, ,,, 
, , ,00:13:C6:13:3F:64,False,False,, ,,, 
, , ,00:13:C6:13:3F:65,False,False,, ,,, 
, , ,00:13:C6:13:3F:66,False,False,, ,,, 
, , ,00:13:C6:13:3F:67,False,False,, ,,, 
, , ,00:13:C6:13:3F:68,False,False,, ,,, 
, , ,00:13:C6:13:3F:69,False,False,, ,,, 
, , ,00:13:C6:13:3F:6A,False,False,, ,,, 
, , ,00:13:C6:13:3F:6B,False,False,, ,,, 
, , ,00:13:C6:13:3F:6C,False,False,, ,,, 
, , ,00:13:C6:13:3F:6D,False,False,, ,,, 
, , ,00:13:C6:13:3F:6E,False,False,, ,,, 
, , ,00:13:C6:13:3F:6F,False,False,, ,,, 
, , ,00:13:C6:13:3F:70,False,False,, ,,, 
, , ,00:13:C6:13:3F:71,False,False,, ,,, 
, , ,00:13:C6:13:3F:72,False,False,, ,,, 
, , ,00:13:C6:13:3F:73,False,False,, ,,, 
, , ,00:13:C6:13:3F:74,False,False,, ,,, 
, , ,00:13:C6:13:3F:75,False,False,, ,,, 
, , ,00:13:C6:13:3F:76,False,False,, ,,, 
, , ,00:13:C6:13:3F:77,False,False,, ,,, 
, , ,00:13:C6:13:3F:78,False,False,, ,,, 
, , ,00:13:C6:13:3F:79,False,False,, ,,, 
, , ,00:13:C6:13:3F:7A,False,False,, ,,, 
, , ,00:13:C6:13:3F:7B,False,False,, ,,, 
, , ,00:13:C6:13:3F:7C,False,False,, ,,, 
, , ,00:13:C6:13:3F:7D,False,False,, ,,, 
, , ,00:13:C6:13:3F:7E,False,False,, ,,, 
, , ,00:13:C6:13:3F:7F,False,False,, ,,, 
, , ,00:13:C6:13:3F:80,False,False,, ,,, 
, , ,00:13:C6:13:3F:81,False,False,, ,,, 
, , ,00:13:C6:13:3F:82,False,False,, ,,, 
, , ,00:13:C6:13:3F:83,False,False,, ,,, 
, , ,00:13:C6:13:3F:84,False,False,, ,,, 
, , ,00:13:C6:13:3F:85,False,False,, ,,, 
, , ,00:13:C6:13:3F:86,False,False,, ,,, 
, , ,00:13:C6:13:3F:87,False,False,, ,,, 
, , ,00:13:C6:13:3F:88,False,False,, ,,, 
, , ,00:13:C6:13:3F:89,False,False,, ,,, 
, , ,00:13:C6:13:3F:8A,False,False,, ,,, 
, , ,00:13:C6:13:3F:8B,False,False,, ,,, 
, , ,00:13:C6:13:3F:8C,False,False,, ,,, 
, , ,00:13:C6:13:3F:8D,False,False,, ,,, 
, , ,00:13:C6:13:3F:8E,False,False,, ,,, 
, , ,00:13:C6:13:3F:8F,False,False,, ,,, 
, , ,00:13:C6:13:3F:90,False,False,, ,,, 
, , ,00:13:C6:13:3F:91,False,False,, ,,, 
, , ,00:13:C6:13:3F:92,False,False,, ,,, 
, , ,00:13:C6:13:3F:93,False,False,, ,,, 
, , ,00:13:C6:13:3F:94,False,False,, ,,, 
, , ,00:13:C6:13:3F:95,False,False,, ,,, 
, , ,00:13:C6:13:3F:96,False,False,, ,,, 
, , ,00:13:C6:13:3F:97,False,False,, ,,, 
, , ,00:13:C6:13:3F:98,False,False,, ,,, 
, , ,00:13:C6:13:3F:99,False,False,, ,,, 
, , ,00:13:C6:13:3F:9A,False,False,, ,,, 
, , ,00:13:C6:13:3F:9B,False,False,, ,,, 
, , ,00:13:C6:13:3F:9C,False,False,, ,,, 
, , ,00:13:C6:13:3F:9D,False,False,, ,,, 
, , ,00:13:C6:13:3F:9E,False,False,, ,,, 
, , ,00:13:C6:13:3F:9F,False,False,, ,,, 
, , ,00:13:C6:13:3F:A0,False,False,, ,,, 
, , ,00:13:C6:13:3F:A1,False,False,, ,,, 
, , ,00:13:C6:13:3F:A2,False,False,, ,,, 
, , ,00:13:C6:13:3F:A3,False,False,, ,,, 
, , ,00:13:C6:13:3F:A4,False,False,, ,,, 
, , ,00:13:C6:13:3F:A5,False,False,, ,,, 
, , ,00:13:C6:13:3F:A6,False,False,, ,,, 
, , ,00:13:C6:13:3F:A7,False,False,, ,,, 
, , ,00:13:C6:13:3F:A8,False,False,, ,,, 
, , ,00:13:C6:13:3F:A9,False,False,, ,,, 
, , ,00:13:C6:13:3F:AA,False,False,, ,,, 
, , ,00:13:C6:13:3F:AB,False,False,, ,,, 
, , ,00:13:C6:13:3F:AC,False,False,, ,,, 
, , ,00:13:C6:13:3F:AD,False,False,, ,,, 
, , ,00:13:C6:13:3F:AE,False,False,, ,,, 
, , ,00:13:C6:13:3F:AF,False,False,, ,,, 
, , ,00:13:C6:13:3F:B0,False,False,, ,,, 
, , ,00:13:C6:13:3F:B1,False,False,, ,,, 
, , ,00:13:C6:13:3F:B2,False,False,, ,,, 
, , ,00:13:C6:13:3F:B3,False,False,, ,,, 
, , ,00:13:C6:13:3F:B4,False,False,, ,,, 
, , ,00:13:C6:13:3F:B5,False,False,, ,,, 
, , ,00:13:C6:13:3F:B6,False,False,, ,,, 
, , ,00:13:C6:13:3F:B7,False,False,, ,,, 
, , ,00:13:C6:13:3F:B8,False,False,, ,,, 
, , ,00:13:C6:13:3F:B9,False,False,, ,,, 
, , ,00:13:C6:13:3F:BA,False,False,, ,,, 
, , ,00:13:C6:13:3F:BB,False,False,, ,,, 
, , ,00:13:C6:13:3F:BC,False,False,, ,,, 
, , ,00:13:C6:13:3F:BD,False,False,, ,,, 
, , ,00:13:C6:13:3F:BE,False,False,, ,,, 
, , ,00:13:C6:13:3F:BF,False,False,, ,,, 
, , ,00:13:C6:13:3F:C0,False,False,, ,,, 
, , ,00:13:C6:13:3F:C1,False,False,, ,,, 
, , ,00:13:C6:13:3F:C2,False,False,, ,,, 
, , ,00:13:C6:13:3F:C3,False,False,, ,,, 
, , ,00:13:C6:13:3F:C4,False,False,, ,,, 
, , ,00:13:C6:13:3F:C5,False,False,, ,,, 
, , ,00:13:C6:13:3F:C6,False,False,, ,,, 
, , ,00:13:C6:13:3F:C7,False,False,, ,,, 
, , ,00:13:C6:13:3F:C8,False,False,, ,,, 
, , ,00:13:C6:13:3F:C9,False,False,, ,,, 
, , ,00:13:C6:13:3F:CA,False,False,, ,,, 
, , ,00:13:C6:13:3F:CB,False,False,, ,,, 
, , ,00:13:C6:13:3F:CC,False,False,, ,,, 
, , ,00:13:C6:13:3F:CD,False,False,, ,,, 
, , ,00:13:C6:13:3F:CE,False,False,, ,,, 
, , ,00:13:C6:13:3F:CF,False,False,, ,,, 
, , ,00:13:C6:13:3F:D0,False,False,, ,,, 
, , ,00:13:C6:13:3F:D1,False,False,, ,,, 
, , ,00:13:C6:13:3F:D2,False,False,, ,,, 
, , ,00:13:C6:13:3F:D3,False,False,, ,,, 
, , ,00:13:C6:13:3F:D4,False,False,, ,,, 
, , ,00:13:C6:13:3F:D5,False,False,, ,,, 
, , ,00:13:C6:13:3F:D6,False,False,, ,,, 
, , ,00:13:C6:13:3F:D7,False,False,, ,,, 
, , ,00:13:C6:13:3F:D8,False,False,, ,,, 
, , ,00:13:C6:13:3F:D9,False,False,, ,,, 
, , ,00:13:C6:13:3F:DA,False,False,, ,,, 
, , ,00:13:C6:13:3F:DB,False,False,, ,,, 
, , ,00:13:C6:13:3F:DC,False,False,, ,,, 
, , ,00:13:C6:13:3F:DD,False,False,, ,,, 
, , ,00:13:C6:13:3F:DE,False,False,, ,,, 
, , ,00:13:C6:13:3F:DF,False,False,, ,,, 
, , ,00:13:C6:13:3F:E0,False,False,, ,,, 
, , ,00:13:C6:13:3F:E1,False,False,, ,,, 
, , ,00:13:C6:13:3F:E2,False,False,, ,,, 
, , ,00:13:C6:13:3F:E3,False,False,, ,,, 
, , ,00:13:C6:13:3F:E4,False,False,, ,,, 
, , ,00:13:C6:13:3F:E5,False,False,, ,,, 
, , ,00:13:C6:13:3F:E6,False,False,, ,,, 
, , ,00:13:C6:13:3F:E7,False,False,, ,,, 
